x;Cot(x)
-10.000000000000;-1.542351045358
-9.950000000000;-1.725575951895
-9.900000000000;-1.943434744076
-9.850000000000;-2.208233313567
-9.800000000000;-2.538824718348
-9.750000000000;-2.965642824874
-9.700000000000;-3.541222628682
-9.650000000000;-4.364733687400
-9.600000000000;-5.648517392942
-9.550000000000;-7.944030307324
-9.500000000000;-13.268892733335
-9.450000000000;-39.639457041898
-9.400000000000;40.350186676817
-9.350000000000;13.347988900120
-9.300000000000;7.972599908407
-9.250000000000;5.663166874716
-9.200000000000;4.373655153218
-9.150000000000;3.547245036611
-9.100000000000;2.969998326381
-9.050000000000;2.542134894917
-9.000000000000;2.210845410997
-8.950000000000;1.945557912134
-8.900000000000;1.727343678583
-8.850000000000;1.543852546935
-8.800000000000;1.386680070133
-8.750000000000;1.249905144365
-8.700000000000;1.129232868777
-8.650000000000;1.021469219889
-8.600000000000;0.924186723076
-8.550000000000;0.835504691897
-8.500000000000;0.753940662495
-8.450000000000;0.678307446045
-8.400000000000;0.607640203143
-8.350000000000;0.541143745421
-8.300000000000;0.478153749463
-8.250000000000;0.418107714198
-8.200000000000;0.360522849584
-8.150000000000;0.304978961087
-8.100000000000;0.251104971938
-8.050000000000;0.198568111915
-8.000000000000;0.147065063949
-7.950000000000;0.096314539599
-7.900000000000;0.046050877777
-7.850000000000;-0.003981655015
-7.800000000000;-0.054034129627
-7.750000000000;-0.104358017926
-7.700000000000;-0.155210273696
-7.650000000000;-0.206858650574
-7.600000000000;-0.259587494544
-7.550000000000;-0.313704284854
-7.500000000000;-0.369547256310
-7.450000000000;-0.427494525194
-7.400000000000;-0.487975272081
-7.350000000000;-0.551483725669
-7.300000000000;-0.618596970803
-7.250000000000;-0.689998015712
-7.200000000000;-0.766506169951
-7.150000000000;-0.849117723076
-7.100000000000;-0.939061371282
-7.050000000000;-1.037875153050
-7.000000000000;-1.147515422404
-6.950000000000;-1.270514699494
-6.900000000000;-1.410216154466
-6.850000000000;-1.571132064306
-6.800000000000;-1.759510218347
-6.750000000000;-1.984264201476
-6.700000000000;-2.258573119745
-6.650000000000;-2.602789539038
-6.600000000000;-3.050100895888
-6.550000000000;-3.658556322446
-6.500000000000;-4.539734472884
-6.450000000000;-5.938967460438
-6.400000000000;-8.521593262113
-6.350000000000;-14.944489708292
-6.300000000000;-59.466192113804
-6.250000000000;30.122755213074
-6.200000000000;11.993612461169
-6.150000000000;7.463888034544
-6.100000000000;5.397754287438
-6.050000000000;4.210423188904
-6.000000000000;3.436353004179
-5.950000000000;2.889440321220
-5.900000000000;2.480706922866
-5.850000000000;2.162246501663
-5.800000000000;1.905973661292
-5.750000000000;1.694329857917
-5.700000000000;1.515770290432
-5.650000000000;1.362389011974
-5.600000000000;1.228586831587
-5.550000000000;1.110284202125
-5.500000000000;1.004435534876
-5.450000000000;0.908718309178
-5.400000000000;0.821327695777
-5.350000000000;0.740837107386
-5.300000000000;0.666101193022
-5.250000000000;0.596186881725
-5.200000000000;0.530323393812
-5.150000000000;0.467865340009
-5.100000000000;0.408265012349
-5.050000000000;0.351051229520
-5.000000000000;0.295812915533
-4.950000000000;0.242186129836
-4.900000000000;0.189843629123
-4.850000000000;0.138486287236
-4.800000000000;0.087835868353
-4.750000000000;0.037628764365
-4.700000000000;-0.012389614272
-4.650000000000;-0.062470053923
-4.600000000000;-0.112864589218
-4.550000000000;-0.163831608172
-4.500000000000;-0.215641232553
-4.450000000000;-0.268581215780
-4.400000000000;-0.322963640382
-4.350000000000;-0.379132760614
-4.300000000000;-0.437474431217
-4.250000000000;-0.498427702869
-4.200000000000;-0.562499368223
-4.150000000000;-0.630282540147
-4.100000000000;-0.702480784029
-4.050000000000;-0.779939986796
-4.000000000000;-0.863691154451
-3.950000000000;-0.955008902328
-3.900000000000;-1.055492909191
-3.850000000000;-1.167183706678
-3.800000000000;-1.292731079591
-3.750000000000;-1.435645363730
-3.700000000000;-1.600683619386
-3.650000000000;-1.794463550091
-3.600000000000;-2.026479069886
-3.550000000000;-2.310861742702
-3.500000000000;-2.669616484964
-3.450000000000;-3.139004632643
-3.400000000000;-3.783337337560
-3.350000000000;-4.728624240111
-3.300000000000;-6.259947539433
-3.250000000000;-9.188302971283
-3.200000000000;-17.101660378713
-3.150000000000;-118.940791774355
-3.100000000000;24.028841576995
-3.050000000000;10.887358220998
-3.000000000000;7.015252551438
-2.950000000000;5.155385751663
-2.900000000000;4.058352716558
-2.850000000000;3.331688673330
-2.800000000000;2.812703494819
-2.750000000000;2.421788964235
-2.700000000000;2.115383020655
-2.650000000000;1.867638041955
-2.600000000000;1.662243400713
-2.550000000000;1.488394782472
-2.500000000000;1.338648128303
-2.450000000000;1.207704426835
-2.400000000000;1.091686026378
-2.350000000000;0.987687134054
-2.300000000000;0.893484463298
-2.250000000000;0.807345151119
-2.200000000000;0.727895776005
-2.150000000000;0.654030895371
-2.100000000000;0.584847806460
-2.050000000000;0.519599103675
-2.000000000000;0.457657554361
-1.950000000000;0.398489649630
-1.900000000000;0.341635355497
-1.850000000000;0.286692349882
-1.800000000000;0.233303534854
-1.750000000000;0.181146952571
-1.700000000000;0.129927464338
-1.650000000000;0.079369710591
-1.600000000000;0.029211978200
-1.550000000000;-0.020799325362
-1.500000000000;-0.070914844303
-1.450000000000;-0.121387319855
-1.400000000000;-0.172476725832
-1.350000000000;-0.224455718249
-1.300000000000;-0.277615646541
-1.250000000000;-0.332273417255
-1.200000000000;-0.388779569369
-1.150000000000;-0.447528022161
-1.100000000000;-0.508968105239
-1.050000000000;-0.573619697064
-1.000000000000;-0.642092615934
-0.950000000000;-0.715111878294
-0.900000000000;-0.793551147842
-0.850000000000;-0.878477784552
-0.800000000000;-0.971214600650
-0.750000000000;-1.073426148548
-0.700000000000;-1.187241832126
-0.650000000000;-1.315435692217
-0.600000000000;-1.461695947078
-0.550000000000;-1.631041423766
-0.500000000000;-1.830487721712
-0.450000000000;-2.070157361301
-0.400000000000;-2.365222420039
-0.350000000000;-2.739512159082
-0.300000000000;-3.232728143765
-0.250000000000;-3.916317364649
-0.200000000000;-4.933154875589
-0.150000000000;-6.616591505597
-0.100000000000;-9.966644423262
-0.050000000000;-19.983330554837
0.000000000000;NaN
0.050000000000;19.983330554829
0.100000000000;9.966644423259
0.150000000000;6.616591505594
0.200000000000;4.933154875584
0.250000000000;3.916317364644
0.300000000000;3.232728143765
0.350000000000;2.739512159082
0.400000000000;2.365222420039
0.450000000000;2.070157361301
0.500000000000;1.830487721712
0.550000000000;1.631041423766
0.600000000000;1.461695947079
0.650000000000;1.315435692218
0.700000000000;1.187241832127
0.750000000000;1.073426148549
0.800000000000;0.971214600650
0.850000000000;0.878477784552
0.900000000000;0.793551147841
0.950000000000;0.715111878294
1.000000000000;0.642092615934
1.050000000000;0.573619697064
1.100000000000;0.508968105239
1.150000000000;0.447528022160
1.200000000000;0.388779569369
1.250000000000;0.332273417255
1.300000000000;0.277615646541
1.350000000000;0.224455718249
1.400000000000;0.172476725832
1.450000000000;0.121387319855
1.500000000000;0.070914844303
1.550000000000;0.020799325362
1.600000000000;-0.029211978200
1.650000000000;-0.079369710591
1.700000000000;-0.129927464338
1.750000000000;-0.181146952571
1.800000000000;-0.233303534854
1.850000000000;-0.286692349882
1.900000000000;-0.341635355497
1.950000000000;-0.398489649630
2.000000000000;-0.457657554360
2.050000000000;-0.519599103675
2.100000000000;-0.584847806460
2.150000000000;-0.654030895370
2.200000000000;-0.727895776005
2.250000000000;-0.807345151119
2.300000000000;-0.893484463298
2.350000000000;-0.987687134054
2.400000000000;-1.091686026379
2.450000000000;-1.207704426836
2.500000000000;-1.338648128304
2.550000000000;-1.488394782473
2.600000000000;-1.662243400713
2.650000000000;-1.867638041956
2.700000000000;-2.115383020655
2.750000000000;-2.421788964235
2.800000000000;-2.812703494819
2.850000000000;-3.331688673330
2.900000000000;-4.058352716554
2.950000000000;-5.155385751658
3.000000000000;-7.015252551438
3.050000000000;-10.887358220999
3.100000000000;-24.028841577003
3.150000000000;118.940791774146
3.200000000000;17.101660378710
3.250000000000;9.188302971283
3.300000000000;6.259947539441
3.350000000000;4.728624240115
3.400000000000;3.783337337564
3.450000000000;3.139004632643
3.500000000000;2.669616484964
3.550000000000;2.310861742702
3.600000000000;2.026479069886
3.650000000000;1.794463550091
3.700000000000;1.600683619384
3.750000000000;1.435645363729
3.800000000000;1.292731079590
3.850000000000;1.167183706677
3.900000000000;1.055492909191
3.950000000000;0.955008902328
4.000000000000;0.863691154451
4.050000000000;0.779939986797
4.100000000000;0.702480784029
4.150000000000;0.630282540148
4.200000000000;0.562499368223
4.250000000000;0.498427702869
4.300000000000;0.437474431218
4.350000000000;0.379132760614
4.400000000000;0.322963640383
4.450000000000;0.268581215780
4.500000000000;0.215641232553
4.550000000000;0.163831608172
4.600000000000;0.112864589218
4.650000000000;0.062470053923
4.700000000000;0.012389614272
4.750000000000;-0.037628764365
4.800000000000;-0.087835868353
4.850000000000;-0.138486287236
4.900000000000;-0.189843629124
4.950000000000;-0.242186129836
5.000000000000;-0.295812915533
5.050000000000;-0.351051229521
5.100000000000;-0.408265012349
5.150000000000;-0.467865340009
5.200000000000;-0.530323393812
5.250000000000;-0.596186881725
5.300000000000;-0.666101193022
5.350000000000;-0.740837107387
5.400000000000;-0.821327695777
5.450000000000;-0.908718309178
5.500000000000;-1.004435534877
5.550000000000;-1.110284202124
5.600000000000;-1.228586831586
5.650000000000;-1.362389011973
5.700000000000;-1.515770290431
5.750000000000;-1.694329857917
5.800000000000;-1.905973661292
5.850000000000;-2.162246501663
5.900000000000;-2.480706922866
5.950000000000;-2.889440321220
6.000000000000;-3.436353004180
6.050000000000;-4.210423188909
6.100000000000;-5.397754287445
6.150000000000;-7.463888034547
6.200000000000;-11.993612461172
6.250000000000;-30.122755213089
6.300000000000;59.466192113749
6.350000000000;14.944489708288
6.400000000000;8.521593262111
6.450000000000;5.938967460430
6.500000000000;4.539734472879
6.550000000000;3.658556322441
6.600000000000;3.050100895888
6.650000000000;2.602789539038
6.700000000000;2.258573119744
6.750000000000;1.984264201476
6.800000000000;1.759510218347
6.850000000000;1.571132064308
6.900000000000;1.410216154467
6.950000000000;1.270514699495
7.000000000000;1.147515422405
7.050000000000;1.037875153050
7.100000000000;0.939061371282
7.150000000000;0.849117723076
7.200000000000;0.766506169950
7.250000000000;0.689998015712
7.300000000000;0.618596970803
7.350000000000;0.551483725668
7.400000000000;0.487975272080
7.450000000000;0.427494525194
7.500000000000;0.369547256309
7.550000000000;0.313704284854
7.600000000000;0.259587494544
7.650000000000;0.206858650574
7.700000000000;0.155210273696
7.750000000000;0.104358017926
7.800000000000;0.054034129628
7.850000000000;0.003981655015
7.900000000000;-0.046050877777
7.950000000000;-0.096314539599
8.000000000000;-0.147065063949
8.050000000000;-0.198568111915
8.100000000000;-0.251104971938
8.150000000000;-0.304978961087
8.200000000000;-0.360522849583
8.250000000000;-0.418107714199
8.300000000000;-0.478153749463
8.350000000000;-0.541143745421
8.400000000000;-0.607640203143
8.450000000000;-0.678307446045
8.500000000000;-0.753940662494
8.550000000000;-0.835504691897
8.600000000000;-0.924186723076
8.650000000000;-1.021469219890
8.700000000000;-1.129232868778
8.750000000000;-1.249905144366
8.800000000000;-1.386680070134
8.850000000000;-1.543852546937
8.900000000000;-1.727343678583
8.950000000000;-1.945557912134
9.000000000000;-2.210845410997
9.050000000000;-2.542134894917
9.100000000000;-2.969998326381
9.150000000000;-3.547245036607
9.200000000000;-4.373655153214
9.250000000000;-5.663166874710
9.300000000000;-7.972599908406
9.350000000000;-13.347988900122
9.400000000000;-40.350186676843
9.450000000000;39.639457041875
9.500000000000;13.268892733334
9.550000000000;7.944030307325
9.600000000000;5.648517392948
9.650000000000;4.364733687404
9.700000000000;3.541222628686
9.750000000000;2.965642824874
9.800000000000;2.538824718348
9.850000000000;2.208233313567
9.900000000000;1.943434744076
9.950000000000;1.725575951895
10.000000000000;1.542351045356
