x;System(x)
-10.000000000000;-12.081979567360
-9.950000000000;-13.989464990738
-9.900000000000;-16.803040693157
-9.850000000000;-21.057277025628
-9.800000000000;-27.764806386197
-9.750000000000;-38.996499158409
-9.700000000000;-59.442821281260
-9.650000000000;-101.310517823846
-9.600000000000;-203.350935910525
-9.550000000000;-533.484588018545
-9.500000000000;-2389.469978294179
-9.450000000000;-62443.579407025110
-9.400000000000;65857.129788403860
-9.350000000000;2431.812396100835
-9.300000000000;539.025838245799
-9.250000000000;204.813909128589
-9.200000000000;101.855410329460
-9.150000000000;59.691509427263
-9.100000000000;39.125238690379
-9.050000000000;27.835533047779
-9.000000000000;21.094221308172
-8.950000000000;16.815186506327
-8.900000000000;13.978259076654
-8.850000000000;12.044284617620
-8.800000000000;10.711570324143
-8.750000000000;9.805152824208
-8.700000000000;9.223115926374
-8.650000000000;8.909681910378
-8.600000000000;8.842162243021
-8.550000000000;9.026227411674
-8.500000000000;9.497628203280
-8.450000000000;10.331041524734
-8.400000000000;11.659673593503
-8.350000000000;13.714556244010
-8.300000000000;16.904278327866
-8.250000000000;21.985534946349
-8.200000000000;30.457459648519
-8.150000000000;45.571745148339
-8.100000000000;75.293871551621
-8.050000000000;142.743503419217
-8.000000000000;334.444725859026
-7.950000000000;1149.804557508540
-7.900000000000;10304.013077743488
-7.850000000000;-15842721.842996012000
-7.800000000000;-6395.359762685956
-7.750000000000;-910.011940311941
-7.700000000000;-288.331812880816
-7.650000000000;-129.194933977948
-7.600000000000;-70.602384239779
-7.550000000000;-43.995482665162
-7.500000000000;-30.142623888070
-7.450000000000;-22.210081720212
-7.400000000000;-17.348933770608
-7.350000000000;-14.226517699385
-7.300000000000;-12.163612061644
-7.250000000000;-10.791344307208
-7.200000000000;-9.900684000201
-7.150000000000;-9.371359471518
-7.100000000000;-9.136665632617
-7.050000000000;-9.166049714788
-7.000000000000;-9.457656137953
-6.950000000000;-10.037751087040
-6.900000000000;-10.966735320186
-6.850000000000;-12.354062446223
-6.800000000000;-14.388419552543
-6.750000000000;-17.397910613060
-6.700000000000;-21.975089453333
-6.650000000000;-29.255241316625
-6.600000000000;-41.595574503796
-6.550000000000;-64.444879617036
-6.500000000000;-112.390803039109
-6.450000000000;-233.741110800952
-6.400000000000;-653.257277872686
-6.350000000000;-3397.648046126536
-6.300000000000;-210523.929096726560
-6.250000000000;27453.387770804755
-6.200000000000;1773.467214076584
-6.150000000000;446.070287289816
-6.100000000000;179.420752645658
-6.050000000000;92.208420618179
-6.000000000000;55.220848393036
-5.950000000000;36.759802310957
-5.900000000000;26.460973255191
-5.850000000000;20.239053946619
-5.800000000000;16.256161545916
-5.750000000000;13.600283553923
-5.700000000000;11.784101172127
-5.650000000000;10.532838497608
-5.600000000000;9.686596470012
-5.550000000000;9.152615136316
-5.500000000000;8.881322884792
-5.450000000000;8.854946171502
-5.400000000000;9.083920638708
-5.350000000000;9.609695882738
-5.300000000000;10.515034616172
-5.250000000000;11.946095776260
-5.200000000000;14.156591758836
-5.150000000000;17.597991627829
-5.100000000000;23.114695179976
-5.050000000000;32.402297332396
-5.000000000000;49.205297666829
-4.950000000000;82.923974341661
-4.900000000000;161.823875955373
-4.850000000000;397.787539363299
-4.800000000000;1509.182621415771
-4.750000000000;18847.837547700740
-4.700000000000;-526050.525919507000
-4.650000000000;-4151.154801592311
-4.600000000000;-723.543803362294
-4.550000000000;-247.303439926751
-4.500000000000;-115.382243355531
-4.450000000000;-64.689596638491
-4.400000000000;-41.042214268579
-4.350000000000;-28.501769680222
-4.300000000000;-21.226302169224
-4.250000000000;-16.726343641156
-4.200000000000;-13.818349315381
-4.150000000000;-11.891738815989
-4.100000000000;-10.612029985712
-4.050000000000;-9.788766715501
-4.000000000000;-9.312513455636
-3.950000000000;-9.123527128722
-3.900000000000;-9.196393494727
-3.850000000000;-9.533855687727
-3.800000000000;-10.167301392419
-3.750000000000;-11.164029198015
-3.700000000000;-12.644137377495
-3.650000000000;-14.814379360021
-3.600000000000;-18.035963824575
-3.550000000000;-22.966815052353
-3.500000000000;-30.882607763468
-3.450000000000;-44.474560616669
-3.400000000000;-70.098378579862
-3.350000000000;-125.289971970466
-3.300000000000;-270.831327955248
-3.250000000000;-812.802669800916
-3.200000000000;-5070.249938500730
-3.150000000000;-1683120.696636505200
-3.100000000000;13970.138449610147
-3.050000000000;1334.354070739047
-3.000000000000;373.738552469766
-2.950000000000;158.230563358507
-2.900000000000;83.829389721604
-2.850000000000;51.235916603964
-2.800000000000;34.613073682117
-2.750000000000;25.197163673051
-2.700000000000;19.445274151711
-2.650000000000;15.733757925605
-2.600000000000;13.245592883875
-2.550000000000;11.539640491697
-2.500000000000;10.365410850953
-2.450000000000;9.576773435234
-2.400000000000;9.089470873895
-2.350000000000;8.859825694150
-2.300000000000;8.874880869346
-2.250000000000;9.149914158346
-2.200000000000;9.732356082329
-2.150000000000;10.713657959031
-2.100000000000;12.254130409455
-2.050000000000;14.632597461349
-2.000000000000;18.348615211193
-1.950000000000;24.346342004501
-1.900000000000;34.548705480905
-1.850000000000;53.283180190882
-1.800000000000;91.699071076762
-1.750000000000;184.615330062404
-1.700000000000;478.589579323251
-1.650000000000;2037.160290592994
-1.600000000000;40217.768417838130
-1.550000000000;-111280.675706931670
-1.500000000000;-2847.641323968241
-1.450000000000;-585.246504349503
-1.400000000000;-213.903004506798
-1.350000000000;-103.569396634501
-1.300000000000;-59.476284189659
-1.250000000000;-38.384084198693
-1.200000000000;-27.003147837231
-1.150000000000;-20.318322328601
-1.100000000000;-16.147562463534
-1.050000000000;-13.437339122703
-1.000000000000;-11.637844538146
-0.950000000000;-10.445444139830
-0.900000000000;-9.686551269772
-0.850000000000;-9.261713456587
-0.800000000000;-9.117729523333
-0.750000000000;-9.234154649117
-0.700000000000;-9.618344198846
-0.650000000000;-10.307006765288
-0.600000000000;-11.374800802181
-0.550000000000;-12.953391142439
-0.500000000000;-15.269431701034
-0.450000000000;-18.721049947215
-0.400000000000;-24.040042345281
-0.350000000000;-32.663236552862
-0.300000000000;-47.672913943020
-0.250000000000;-76.514853598908
-0.200000000000;-140.402481773466
-0.150000000000;-316.592868045946
-0.100000000000;-1030.195260474558
-0.050000000000;-8060.096906065145
0.000000000000;34542.674321547085
0.050000000000;289.221445820682
0.100000000000;169.289264254988
0.150000000000;113.560829891307
0.200000000000;80.421526292135
0.250000000000;58.791535204817
0.300000000000;42.574876729638
0.350000000000;30.822528384972
0.400000000000;21.753231895784
0.450000000000;14.552520845053
0.500000000000;8.945994118428
0.550000000000;3.732353137514
0.600000000000;-0.592175506823
0.650000000000;-4.580365089123
0.700000000000;-8.539954661108
0.750000000000;-12.886750085351
0.800000000000;-18.328361091440
0.850000000000;-26.394521565909
0.900000000000;-41.538287527705
0.950000000000;-85.817923391328
1.000000000000;NaN
1.050000000000;90.384008546089
1.100000000000;46.596141631008
1.150000000000;32.287349548242
1.200000000000;25.423447812593
1.250000000000;21.587310650085
1.300000000000;19.299548527414
1.350000000000;17.921185788907
1.400000000000;17.129144574612
1.450000000000;16.741278349107
1.500000000000;16.646295370604
1.550000000000;16.771841225008
1.600000000000;17.068493088514
1.650000000000;17.501106504377
1.700000000000;18.043844664988
1.750000000000;18.677176274056
1.800000000000;19.385984128517
1.850000000000;20.158329620282
1.900000000000;20.984624449402
1.950000000000;21.858094012527
2.000000000000;22.769098858612
2.050000000000;23.715420993841
2.100000000000;24.691438338771
2.150000000000;25.693269272010
2.200000000000;26.717583484251
2.250000000000;27.761504076062
2.300000000000;28.822530668485
2.350000000000;29.898478300808
2.400000000000;30.987428346275
2.450000000000;32.087688690179
2.500000000000;33.197761129120
2.550000000000;34.316314456614
2.600000000000;35.442162073930
2.650000000000;36.574243231000
2.700000000000;37.711607205991
2.750000000000;38.853399882871
2.800000000000;39.998852298062
2.850000000000;41.147270816375
2.900000000000;42.298028664120
2.950000000000;43.450558598001
3.000000000000;44.604346530923
3.050000000000;45.758925967949
3.100000000000;46.913873130936
3.150000000000;48.068802673239
3.200000000000;49.223363898404
3.250000000000;50.377237416374
3.300000000000;51.530132175188
3.350000000000;52.681782821187
3.400000000000;53.831947343610
3.450000000000;54.980404969529
3.500000000000;56.126954276962
3.550000000000;57.271411499970
3.600000000000;58.413609004199
3.650000000000;59.553393913281
3.700000000000;60.690626897857
3.750000000000;61.825181594272
3.800000000000;62.956952416195
3.850000000000;64.085986514350
3.900000000000;65.214340365289
3.950000000000;66.370291354072
4.000000000000;67.454069417707
4.050000000000;68.570459961814
4.100000000000;69.683554806776
4.150000000000;70.793296207744
4.200000000000;71.899632320336
4.250000000000;73.002516754152
4.300000000000;74.101908160261
4.350000000000;75.197769853302
4.400000000000;76.290069463820
4.450000000000;77.378778617636
4.500000000000;78.463872639948
4.550000000000;79.545330283843
4.600000000000;80.623133478151
4.650000000000;81.697267094903
4.700000000000;82.767718734594
4.750000000000;83.834478527524
4.800000000000;84.897538949328
4.850000000000;85.956894649928
4.900000000000;87.012542296213
4.950000000000;88.064480424637
5.000000000000;89.112709304808
5.050000000000;90.157230813152
5.100000000000;91.198048315684
5.150000000000;92.235166557658
5.200000000000;93.268591562435
5.250000000000;94.298330537111
5.300000000000;95.324391783391
5.350000000000;96.346784616055
5.400000000000;97.365519286828
5.450000000000;98.380606911797
5.500000000000;99.392059406162
5.550000000000;100.399889421562
5.600000000000;101.404110287613
5.650000000000;102.404735959313
5.700000000000;103.401780964763
5.750000000000;104.395260359715
5.800000000000;105.385189681955
5.850000000000;106.371584911649
5.900000000000;107.354462431390
5.950000000000;108.333838991775
6.000000000000;109.309731676172
6.050000000000;110.282157871075
6.100000000000;111.251135234847
6.150000000000;112.216681671708
6.200000000000;113.178815305613
6.250000000000;114.137554455858
6.300000000000;115.092917614690
6.350000000000;116.044923426648
6.400000000000;116.993590668901
6.450000000000;117.938938232289
6.500000000000;118.880985104608
6.550000000000;119.819750354398
6.600000000000;120.755253115913
6.650000000000;121.687512575202
6.700000000000;122.616547956462
6.750000000000;123.542378510340
6.800000000000;124.465023502747
6.850000000000;125.384502202839
6.900000000000;126.300833874336
6.950000000000;127.214037765907
7.000000000000;128.124133101953
7.050000000000;129.031139075123
7.100000000000;129.935074837940
7.150000000000;130.835959497110
7.200000000000;131.733812105861
7.250000000000;132.628651658227
7.300000000000;133.520497084822
7.350000000000;134.409367251125
7.400000000000;135.295280969427
7.450000000000;136.178257063722
7.500000000000;137.058314647773
7.550000000000;137.935474245778
7.600000000000;138.809762181690
7.650000000000;139.681227409818
7.700000000000;140.550004826528
7.750000000000;141.416549115302
7.800000000000;142.282483311762
7.850000000000;143.153625599502
7.900000000000;144.050608147932
7.950000000000;145.045550958746
8.000000000000;146.387001466680
8.050000000000;146.551504509040
8.100000000000;147.397948808669
8.150000000000;148.241707003012
8.200000000000;149.082796250310
8.250000000000;149.921233591769
8.300000000000;150.757035950111
8.350000000000;151.590220129671
8.400000000000;152.420802815722
8.450000000000;153.248800573474
8.500000000000;154.074229848194
8.550000000000;154.897106964199
8.600000000000;155.717448125353
8.650000000000;156.535269414327
8.700000000000;157.350586793125
8.750000000000;158.163416102432
8.800000000000;158.973773062024
8.850000000000;159.781673271063
8.900000000000;160.587132207470
8.950000000000;161.390165229168
9.000000000000;162.190787573605
9.050000000000;162.989014358771
9.100000000000;163.784860582850
9.150000000000;164.578341125057
9.200000000000;165.369470746208
9.250000000000;166.158264088494
9.300000000000;166.944735676935
9.350000000000;167.728899919225
9.400000000000;168.510771106969
9.450000000000;169.290363415591
9.500000000000;170.067690905385
9.550000000000;170.842767522273
9.600000000000;171.615607097803
9.650000000000;172.386223350743
9.700000000000;173.154629887099
9.750000000000;173.920840201515
9.800000000000;174.684867677287
9.850000000000;175.446725587558
9.900000000000;176.206427096205
9.950000000000;176.963985257876
10.000000000000;177.719413019775
